"Accepted Symbol","Synonym Symbol","Scientific Name","Invasive","C:N Ratio","Growth Rate","Height at Base Age, Maximum (feet)","Height, Mature (feet)","Leaf Retention","Nitrogen Fixation","Adapted to Coarse Textured Soils","Adapted to Medium Textured Soils","Frost Free Days, Minimum","Moisture Use","pH (Minimum)","pH (Maximum)","Precipitation (Minimum)","Precipitation (Maximum)","Root Depth, Minimum (inches)","Shade Tolerance","Temperature, Minimum (°F)","Commercial Availability","Propogated by Seed","Palatable Browse Animal"
"RHCA6","","Rhododendron canadense","","High","Moderate","12","18","Yes","None","Yes","Yes","120","High","4.0","5.3","35","50","16","Tolerant","-23","Routinely Available","Yes","Low"
"RHCA7","","Rhododendron canescens","","High","Slow","13","14","No","None","No","Yes","200","Medium","4.3","5.8","32","50","14","Tolerant","-13","Routinely Available","Yes","Low"
"RHMA3","","Rhododendron macrophyllum","","High","Moderate","10","15","Yes","None","No","Yes","270","High","5.5","7.0","55","125","12","Intermediate","7","Routinely Available","Yes","Low"
"RHMA4","","Rhododendron maximum","","High","Slow","15","25","Yes","None","Yes","Yes","150","Medium","4.0","5.5","36","60","18","Tolerant","-13","Routinely Available","Yes",""
"RHVI2","","Rhododendron viscosum","","","Slow","13","16","No","None","Yes","Yes","160","High","4.0","7.0","35","55","14","Tolerant","-18","Routinely Available","Yes","Low"
"RHCO","","Rhus copallinum","","High","Moderate","8","8.0","No","None","Yes","Yes","140","Low","5.3","7.5","28","60","14","Intolerant","-28","Routinely Available","Yes","Low"
"RHGL","","Rhus glabra","NE&GP","High","Moderate","12","12","No","None","Yes","Yes","135","Low","5.3","7.5","30","60","24","Intolerant","-33","Routinely Available","Yes","Low"
"RHMI3","","Rhus microphylla","","High","Moderate","10","10","No","None","Yes","Yes","150","Low","7.0","8.5","8","26","12","Intolerant","-13","Routinely Available","Yes","Medium"
"RHTR","","Rhus trilobata","","High","Slow","4","4.0","No","None","Yes","Yes","140","Low","6.5","8.2","8","20","12","Intermediate","-53","Routinely Available","Yes","Medium"
"RHTY","","Rhus typhina","N'EAST","","","","","","","","","","","","","","","","","","","",""
"RHTY","RHHI2","Rhus hirta","","Medium","Rapid","30","30","No","None","Yes","Yes","100","Low","4.5","7.2","24","50","20","Intermediate","-33","Routinely Available","Yes","Medium"
"RIAU","","Ribes aureum","","Medium","Moderate","10","10","No","None","No","Yes","150","Low","6.0","8.0","12","20","20","Intermediate","-38","Routinely Available","Yes","High"
"RICE","","Ribes cereum","","Medium","Rapid","3","3.0","No","None","Yes","Yes","300","Low","6.5","7.5","13","35","12","Intolerant","-23","Routinely Available","No","High"
"RIIN2","","Ribes inerme","","High","Moderate","8","8.0","No","None","Yes","Yes","130","Medium","6.0","7.5","12","24","12","Tolerant","-28","Routinely Available","Yes","Medium"
"RIMO2","","Ribes montigenum","","High","Rapid","1","1.0","No","None","Yes","Yes","120","Medium","7.0","8.0","10","35","12","Intermediate","-3","Routinely Available","Yes","Medium"
"RITR","","Ribes triste","","Medium","Moderate","5","2.0","No","None","Yes","Yes","115","Medium","5.0","7.5","9","60","12","Tolerant","-62","Routinely Available","Yes","High"
"RONE","","Robinia neomexicana","","Medium","Rapid","4","25","No","Low","Yes","Yes","160","Medium","7.0","8.5","9","35","12","Intolerant","-23","Routinely Available","Yes","High"
"ROPS","","Robinia pseudoacacia","Cal-IPC, N'EAST","Medium","Rapid","40","60","No","Medium","Yes","Yes","140","Medium","4.6","8.2","16","65","36","Intolerant","-37","Routinely Available","Yes","Low"
"ROPA","","Rosa palustris","","","Moderate","8","8.2","No","None","No","Yes","95","Medium","4.0","7.0","35","50","18","Tolerant","-33","Routinely Available","Yes","Low"
"RORU82","","Rosa rubiginosa","","","","","","","","","","","","","","","","","","","","",""
"RORU82","ROEG","Rosa eglanteria","","High","Moderate","10","10","No","None","Yes","Yes","100","Medium","5.2","7.5","32","45","20","Intolerant","-33","Routinely Available","Yes","Low"
"RORU","","Rosa rugosa","STATE","High","Moderate","5","5.0","No","None","Yes","Yes","140","Medium","5.5","7.5","34","60","14","Intolerant","-33","Routinely Available","Yes","Low"
"ROWI","","Rosa wichuraiana","","","Rapid","","1.0","No","None","Yes","Yes","140","Medium","4.8","7.0","35","55","16","Intolerant","-23","Routinely Available","Yes","Low"
"ROWO","","Rosa woodsii","","Medium","Rapid","3","3.0","No","None","Yes","Yes","150","Medium","5.0","8.0","12","40","12","Intermediate","-43","Routinely Available","Yes","Medium"
"ROOF","","Rosmarinus officinalis","","High","Moderate","5","5.0","Yes","None","Yes","Yes","200","Low","5.0","7.5","14","45","14","Intolerant","-3","Routinely Available","Yes","Low"
"ROBO","","Roystonea borinquena","","","Moderate","40","50","Yes","None","Yes","Yes","365","","5.0","7.5","30","150","36","Tolerant","40","Routinely Available","Yes","Medium"
"RUAR","","Rubus arcticus","","Medium","Moderate","2","1.0","No","None","Yes","No","120","","5.0","7.0","10","79","12","Intolerant","-62","Routinely Available","Yes","Low"
"RUCH","","Rubus chamaemorus","","High","Rapid","","1.0","No","None","No","Yes","90","High","4.0","5.2","35","55","12","Intermediate","-38","Routinely Available","Yes","High"
"RUHI","","Rubus hispidus","","","Moderate","","2.0","No","None","Yes","Yes","140","High","4.5","7.0","30","70","12","Intolerant","-38","Routinely Available","Yes","Low"
"RUID","","Rubus idaeus","","Medium","Moderate","9","6.0","No","None","No","No","88","","5.0","7.5","10","104","12","Tolerant","-62","Routinely Available","Yes","Low"
"RUOC","","Rubus occidentalis","","Low","Rapid","5","6.0","No","None","No","Yes","129","Medium","5.2","7.5","24","45","12","Intermediate","-28","Routinely Available","Yes","High"
"RUHI2","","Rudbeckia hirta","SWSS","Medium","Rapid","","1.0","No","None","No","Yes","150","Medium","6.0","7.0","28","65","10","Intolerant","-23","Routinely Available","Yes","Low"
"RULA3","","Rudbeckia laciniata","","","Rapid","","8.2","No","None","Yes","Yes","100","Low","4.5","7.0","15","55","12","Tolerant","-38","Routinely Available","Yes","High"
"RUAR6","","Rumex arcticus","","Medium","Moderate","","1.0","No","None","Yes","No","120","","5.0","7.8","10","79","12","Intolerant","-62","Routinely Available","Yes","Low"
"SACA","","Sabal causiarum","","","Slow","75","50","Yes","None","Yes","Yes","340","","6.0","8.0","30","55","36","Intolerant","28","Routinely Available","Yes","Medium"
"SAMI8","","Sabal minor","","High","Slow","4","9.0","Yes","None","No","Yes","180","High","5.5","6.5","35","80","18","Tolerant","7","Routinely Available","Yes","Low"
"SAGI","","Saccharum giganteum","","High","Rapid","","9.8","No","None","Yes","Yes","110","Medium","3.5","7.0","35","60","24","Intolerant","-28","Routinely Available","No",""
"SAOF","","Saccharum officinarum","","Medium","Rapid","","12","Yes","None","Yes","Yes","365","Medium","4.0","7.0","40","80","24","Intermediate","17","Routinely Available","Yes","High"
"SARA3","","Saccharum ravennae","","High","Rapid","","7.0","No","None","Yes","Yes","185","Medium","4.8","7.0","28","55","14","Intolerant","-8","Routinely Available","No","Low"
"SACU","","Sagittaria cuneata","","","Moderate","","2.6","No","None","No","Yes","95","Medium","4.7","8.6","14","50","14","Intolerant","-33","Routinely Available","Yes","High"
"SALA2","","Sagittaria latifolia","SWSS","","Moderate","","4.9","No","None","No","Yes","95","High","4.7","8.9","14","50","18","Intolerant","-33","Routinely Available","Yes","High"
"SADE10","","Salicornia depressa","","","","","","","","","","","","","","","","","","","","",""
"SADE10","SAVI","Salicornia virginica","","","Slow","","1.0","No","None","Yes","Yes","120","Medium","6.6","8.5","40","60","6","Intolerant","12","Routinely Available","Yes",""
"SAAL2","","Salix alba","","High","Rapid","45","70","No","None","Yes","Yes","100","High","4.5","7.8","20","90","24","Intolerant","-33","Routinely Available","No","Medium"
"SAAM2","","Salix amygdaloides","","Medium","Rapid","45","60","No","None","Yes","Yes","130","High","6.0","8.0","24","60","30","Intolerant","-33","Routinely Available","No","Medium"
"SABO2","","Salix boothii","","Medium","Rapid","24","24","No","None","Yes","Yes","270","High","5.5","8.0","55","125","12","Tolerant","13","Routinely Available","Yes","High"
"SACA5","","Salix caroliniana","","","Rapid","25","33","No","None","Yes","Yes","130","High","4.5","8.8","30","60","20","Intermediate","2","Routinely Available","Yes","Medium"
"SADI","","Salix discolor","","","Rapid","20","40","No","None","Yes","Yes","95","High","4.0","7.0","20","50","20","Tolerant","-33","Routinely Available","Yes","Medium"
