"Accepted Symbol","Synonym Symbol","Scientific Name","Federal Noxious Status","State Noxious Status","Invasive","C:N Ratio","Foliage Texture","Growth Rate","Height, Mature (feet)","Leaf Retention","Nitrogen Fixation","Adapted to Coarse Textured Soils","Adapted to Medium Textured Soils","Frost Free Days, Minimum","Moisture Use","Precipitation (Minimum)","Precipitation (Maximum)","Root Depth, Minimum (inches)","Shade Tolerance","Temperature, Minimum (°F)","Palatable Browse Animal","Palatable Graze Animal"
"ARCO9","","Arnica cordifolia","","","","Low","Coarse","Rapid","1.5","No","None","Yes","Yes","130","High","10","35","6","Tolerant","-28","Low","Low"
"ARLA8","","Arnica latifolia","","","","Medium","Medium","Moderate","2.0","No","None","Yes","Yes","90","High","14","40","8","Intermediate","-33","Low","Low"
"ARLO6","","Arnica longifolia","","","","Medium","Coarse","Moderate","2.0","No","None","Yes","Yes","100","High","16","60","10","Tolerant","-33","Low","Low"
"ARMO4","","Arnica mollis","","","","","Medium","Slow","2.0","No","None","Yes","Yes","80","High","10","100","2","Intermediate","-33","Low","Low"
"ARFUH","","Artemisia furcata var. heterophylla","","","","High","Coarse","Slow","4.0","No","None","Yes","Yes","100","Low","14","28","32","Intolerant","-18","Low","Low"
"ARTRV","","Artemisia tridentata ssp. vaseyana","","","","Medium","Coarse","Slow","7.0","No","None","Yes","Yes","90","Low","11","45","16","Intolerant","-43","Low","Low"
"ASTU","","Asclepias tuberosa","","","","Low","Coarse","Slow","2.0","No","None","Yes","Yes","135","Low","28","45","16","Intolerant","-33","Low","Low"
"ASTR","","Asimina triloba","","","","High","Coarse","Slow","25","No","None","Yes","Yes","160","Medium","36","80","20","Tolerant","-27","Low","Low"
"ASCU4","","Astragalus curvicarpus","","","","Low","Fine","Rapid","0.4","No","Low","Yes","Yes","120","Low","10","60","6","Intolerant","-23","Low","Low"
"ASPU9","","Astragalus purshii","","","","Low","Fine","Moderate","0.6","No","Medium","Yes","Yes","80","Low","10","20","10","Intolerant","-33","Low","Low"
"BASE2","","Balsamorhiza serrata","","","","Medium","Medium","Moderate","1.0","No","None","Yes","Yes","140","Low","16","28","12","Intolerant","-28","Low","Low"
"BASC5","","Bassia scoparia","","","","","","","","","","","","","","","","","","","",""
